A5,10.1,3.7,8.7,175.83,0
B4,8.7,3.8,15.2,0,267
B6,8.6,3.8,14.8,0,260
A3,8.7,3.8,10,168.6,0
A2,8.7,3.6,10.2,169.24,0
B8,8.8,3.7,14.9,0,276
B7,8.8,3.7,15,0,273
A7,8.7,3.7,9.7,164.22,0
A3,9.9,8.8,3.7,168.58,0
B6,14.9,8.7,3.8,0,260
A9,10.1,8.8,3.8,173.5,0
B1,14.7,8.8,3.7,0,248
A5,10.1,8.7,3.8,175.33,0
B2,14.8,8.8,3.7,0,249
A4,9.9,8.8,3.8,169.83,0
B3,14.9,8.8,3.8,0,285
A7,9.5,8.6,3.6,164.22,0
B8,14.9,8.6,3.6,0,276
A8,10,8.7,3.7,190.03,0
B7,15,8.7,3.7,0,255
B7,15,8.6,3.7,0,273
A1,10.2,8.7,3.7,181.7,0
B6,14.8,8.7,3.7,0,260
A3,9.8,8.7,3.65,168.59,0
C1,20,8.7,3.6,0,359
A8,10,8.7,3.7,190.02,0
A7,9.6,8.7,3.8,164.22,0
A4,9.9,8.7,3.8,169.11,0
A9,10.1,8.7,3.7,173.48,0
B8,14.9,8.8,3.7,0,276
B3,14.9,8.8,3.7,0,283
B4,15.1,8.6,3.7,0,267
B5,15.1,8.7,3.7,0,262
A6,10.1,8.7,3.7,171.65,0
B6,14.8,8.7,3.7,0,260
A5,10.2,8.7,3.7,175.33,0
B1,14.1,8.7,3.7,0,249
A7,9.6,8.7,3.7,164.22,0
B7,15.1,8.7,3.7,0,273
A3,10,8.7,3.7,168.59,0
A4,8.7,9.8,3.8,169.12,0
A1,8.6,3.7,10.1,181.7,0
A2,8.7,3.8,10,190.01,0
A8,8.7,3.2,10.2,169.25,0
B2,8.7,3.6,14.9,0,249
B4,8.7,3.8,15.1,0,267
B1,8.7,3.7,14.8,0,249
B5,8.7,3.6,15.2,0,262
A2,10.1,3.7,8.7,169.23,0
A5,10.2,3.6,8.7,175.33,0
B3,14.3,3.7,8.7,0,285
B2,14.9,3.5,8.7,0,249
A7,9.5,3.7,8.6,164.22,0
B4,15.1,3.6,8.8,0,267
A9,10.3,3.7,8.8,173.48,0
B8,14.9,3.6,8.8,0,276
A6,10.1,8.7,3.6,171.55,0
A7,9.6,8.7,3.7,164.15,0
A3,9.9,8.7,3.7,168.48,0
A4,9.8,8.6,3.7,169.07,0
B2,14.8,8.7,3.6,0,249
B8,14.9,8.7,3.7,0,276
B6,14.9,8.7,3.7,0,260
B5,15.3,8.6,3.8,0,262
A1,8.8,3.8,10.2,181.65,182
B4,8.8,3.9,15.3,0,267
A8,8.8,3.9,10.1,189.93,189
B5,8.8,3.9,15.4,0,261
A7,8.7,3.9,9.6,164.13,164
B3,8.9,3.9,15,0,285
A9,8.8,3.8,10.2,173.41,173
B1,8.8,3.8,14.9,0,249
A5,8.8,3.7,10.3,175.22,175
B7,8.8,3.7,15.2,0,273
A2,10.1,8.7,3.6,169.15,0
B2,14.8,8.6,3.6,0,249
A8,10,8.6,3.7,165.56,0
A7,9.5,8.7,3.7,164.16,0
A1,10.2,8.7,3.8,181.65,0
B1,14.9,8.8,3.8,0,248
B6,14.9,8.6,3.6,0,260
B5,15.1,8.8,3.7,0,226
A1,10.1,8.5,3.7,182.66,181
A2,10.2,8.7,3.8,169.13,169
B4,15.1,8.5,3.7,0,267
A6,10,8.5,3.7,171.54,171
A5,10.2,8.7,3.7,175.2,175
A8,10,8.7,3.7,189.93,189
B3,14.9,8.7,3.6,0,285
C1,20,8.6,3.7,0,359
B7,14.9,8.8,3.8,0,273
A4,9.7,8.8,3.7,169.07,0
C1,20.1,8.7,3.6,0,351
B1,14.7,8.5,3.6,0,248
B3,14.9,8.8,3.7,0,285
A2,10.3,8.6,3.6,169.2,0
B5,15.2,8.7,3.8,0,262
B6,15,8.8,3.5,0,260
A9,10.2,8.7,3.7,173.4,173
B1,14.7,8.7,3.7,0,248
A2,10.4,8.7,3.7,169.18,169
B2,14.9,8.7,3.7,0,249
A5,10.2,8.7,3.7,175.2,175
B4,15.7,8.7,3.8,0,267
A8,10,8.7,3.7,189.93,189
B3,14.9,8.7,3.7,0,285
B4,15,8.5,3.7,0,267
A4,9.9,8.5,3.7,169.09,0
B7,15,8.8,3.7,0,273
B5,15.1,8.8,3.7,0,260
A6,10.1,8.8,3.7,171.16,0
B6,14.8,8.8,3.7,0,261
A9,10.1,8.8,3.7,173.44,0
A1,10.3,8.8,3.7,181.66,182
A7,9.6,8.8,3.8,164.13,164
B3,8.6,3.8,14.7,0,285
B5,8.6,3.7,15.2,0,262
A1,8.7,3.6,10.1,181.65,181
A4,9.9,8.7,3.7,169.05,169
B6,14.8,8.8,3.7,0,260
A9,10.1,8.8,3.7,173.41,173
A2,10.3,8.7,3.9,169.2,169
A3,10,8.8,3.7,168.49,168
A1,10.3,8.6,3.9,181.62,182
B4,15.2,8.8,3.9,0,267
B3,14.9,8.9,3.8,0,285
B2,15,8.9,3.6,0,249
C1,20.1,9.1,3.7,0,358
A9,8.6,9.9,3.4,173.44,173
B1,8.6,14.7,3.5,0,249
A2,8.6,10.2,8.6,169.17,169
B2,8.6,14.8,3.6,0,249
B8,8.6,14.8,3.7,0,276
B7,8.6,14.8,3.7,0,243
B6,8.6,14.8,3.7,0,260
A6,8.6,10.2,3.7,171.51,171
A1,10.2,8.8,3.8,181.66,182
A3,9.9,8.6,3.7,168.49,168
A5,10.1,8.7,3.8,175.23,175
A8,10,8.8,3.8,189.95,190
B5,15.2,8.7,3.7,0,262
B4,15.1,8.8,3.7,0,267
B1,15.1,8.8,3.7,0,249
B7,15,8.8,3.8,0,273
A4,8.6,4.7,9.9,169.06,169
B6,14.9,3.8,8.8,0,260
B7,14.9,8.7,3.7,0,273
B8,8.7,14.8,3.7,0,276
A3,8.7,10,3.7,168.48,168
C1,20,8.5,3.7,0,358
B1,8.8,14.8,3.9,0,249
B2,8.5,3.8,14.9,0,249
A8,10,8.8,3.8,189.97,0
A3,9.9,8.8,3.8,168.5,0
