"Block #","Mass","Volume"
"A1","181.7","330.0"
"A2","169.0","380.0"
"A3","168.0","320.0"
"A4","169.0","390.0"
"A5","175.0","330.0"
"A6","171.0","330.0"
"A7","164.0","310.0"
"A8","189.2","320.0"
"A9","173.0","330.0"
"B1","248.5","470.0"
"B2","249.0","470.0"
"B3","284.8","480.0"
"B4","267.0","500.0"
"B5","261.6","470.0"
"B6","260.1","480.0"
"B7","273.0","480.0"
"B8","276.0","480.0"
"C1","358.6","640.0"
